name	url	our_price	ingredients	packaging_type	food_texture	lifestage	brand	food_form	special_diet	restricted_availability	moisture_warning	%_calories_carbohydrate	%_calories_min_protein	%_calories_min_fat	price_per_kcal	price_per_month
Purina ONE Sensitive Skin & Stomach Dry Cat Food, 16-lb bag	https://www.chewy.com/purina-one-sensitive-skin-stomach-dry/dp/33828	19.08	"Turkey, Chicken By-Product Meal, Rice Flour, Corn Gluten Meal, Soybean Meal, Oat Meal, Whole Grain Corn, Beef Fat Naturally Preserved With Vitamin E,
ESSENTIAL NUTRIENTS AND OTHER INGREDIENTS: Minerals (Phosphoric Acid, Calcium Carbonate, Salt, Potassium Chloride, Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite), Dried Egg Product, Liver Flavor, Soybean Oil, Caramel Color, Vitamins (Choline, Vitamin E, Vitamin B-3, Vitamin A, Vitamin B-5, Vitamin B-1, Vitamin B-2, Vitamin B-12, Vitamin B-6, Folic Acid, Vitamin D-3, Vitamin B-7, Vitamin K), Dried Carrots, Dried Peas, Taurine, Amino Acids (L-Lysine Monohydrochloride). M418618"			adult	purina	dry food	high-protein sensitive digestion			30.763487167110398	35.90041406149832	33.33609877139129	0.0006508570544554455	3.905142326732673
Royal Canin Veterinary Diet Urinary SO Loaf In Sauce Canned Cat Food, 5.8-oz, case of 24	https://www.chewy.com/royal-canin-veterinary-diet-urinary/dp/35160	57.36	Water Sufficient For Processing, Pork By-Products, Pork Liver, Chicken By-Products, Chicken Liver, Chicken, Pork Plasma, Powdered Cellulose, Wheat Flour, Natural Flavors, Wheat Gluten, Calcium Sulfate, Salt, Fish Oil, Carob Bean Gum, Carrageenan, Potassium Chloride, Sodium Tripolyphosphate, Xanthan Gum, Taurine, Sodium Bisulfate, Dl-Methionine, Vitamins [Dl-Alpha Tocopherol Acetate (Source Of Vitamin E), Thiamine Mononitrate (Vitamin B1), Biotin, Niacin Supplement, D-Calcium Pantothenate, Folic Acid, Pyridoxine Hydrochloride (Vitamin B6), Riboflavin Supplement, Vitamin B12 Supplement, Vitamin D3 Supplement], Marigold Extract (Tagetes Erecta L.), Trace Minerals [Zinc Oxide, Zinc Proteinate, Ferrous Sulfate, Calcium Iodate, Copper Sulfate, Manganous Oxide, Sodium Selenite].	can	pate	adult	royal canin	wet food	pea-free veterinary diet			19.444444444444446	51.041666666666664	29.51388888888889	0.017703703703703704	106.22222222222223
Kitten Chow Nurture Muscle & Brain Development Dry Cat Food, 14-lb bag	https://www.chewy.com/kitten-chow-nurture-muscle-brain/dp/127713	13.98	Chicken By-Product Meal, Corn Gluten Meal, Rice, Soy Flour, Beef Fat Preserved With Mixed-Tocopherols, Ground Whole Wheat, Chicken, Fish Meal, Liver Flavor, Dried Yeast, Calcium Carbonate, Phosphoric Acid, Salt, Choline Chloride, MINERALS [Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite], VITAMINS [Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement, Biotin (Vitamin B-7), Menadione Sodium Bisulfite Complex (Vitamin K)], Taurine, Potassium Chloride. K453020.			kitten	purina	dry food	high-protein pea-free			26.734922780477984	40.263437922406595	33.00163929711541	0.0005942914979757086	3.5657489878542514
Hill's Prescription Diet k/d Kidney Care Chicken & Vegetable Stew Canned Cat Food, 2.9-oz, case of 24	https://www.chewy.com/hills-prescription-diet-kd-kidney/dp/110400	42.99	Water, Chicken, Pork Liver, Carrots, Rice, Rice Starch, Spinach, Chicken Fat, Pea Protein, Chicken Liver Flavor, Powdered Cellulose, Soy Protein Isolate, Fish Oil, Potassium Alginate, Soybean Oil, Calcium Lactate, Calcium Gluconate, Natural Flavor, Choline Chloride, Guar Gum, Potassium Citrate, vitamins (Vitamin E Supplement, Thiamine Mononitrate, L-Ascorbyl-2-Polyphosphate (source of Vitamin C), Niacin Supplement, Pyridoxine Hydrochloride, Calcium Pantothenate, Vitamin B12 Supplement, Riboflavin Supplement, Biotin, Folic Acid, Vitamin D3 Supplement), Taurine, Calcium Chloride, Dicalcium Phosphate, L-Threonine, Potassium Chloride, minerals (Zinc Oxide, Ferrous Sulfate, Copper Sulfate, Manganous Oxide, Calcium Iodate), L-Carnitine, Sodium Tripolyphosphate, Calcium Carbonate.	can	stew	adult	hill's	wet food	veterinary diet		% moisture max estimated	56.99978227737861	15.240583496625302	27.759634225996088	0.025589285714285717	153.5357142857143
Purina ONE Healthy Kitten Formula Dry Cat Food, 16-lb bag	https://www.chewy.com/purina-one-healthy-kitten-formula-dry/dp/119347	20.82	Chicken, Chicken By-Product Meal, Corn Gluten Meal, Rice Flour, Soybean Meal, Beef Fat Naturally Preserved With Mixed-Tocopherols, Chicken Meal, Whole Grain Corn, Soy Protein Concentrate, Liver Flavor, Soy Protein Isolate, Phosphoric Acid, Salt, Caramel Color, Fish Oil, Dried Carrots, Dried Peas, Choline Chloride, Taurine, MINERALS [Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite], Potassium Chloride, Calcium Carbonate, VITAMINS [Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement, Biotin (Vitamin B-7), Menadione Sodium Bisulfite Complex (Vitamin K)], L-Lysine Monohydrochloride, DL-Methionine. V415917			kitten	purina	dry food	high-protein indoor			22.071359229756503	37.23552801308563	40.69311275715786	0.0007385472972972973	4.431283783783783
Friskies Seafood Sensations Dry Cat Food, 16-lb bag	https://www.chewy.com/friskies-seafood-sensations-dry-cat/dp/104291	11.78	Ground Yellow Corn, Corn Gluten Meal, Poultry By-Product Meal, Soybean Meal, Animal Fat Preserved With Mixed-Tocopherols, Liver Flavor, Meat And Bone Meal, Ocean Fish Meal, Phosphoric Acid, Calcium Carbonate, Potassium Chloride, Salt, Choline Chloride, Salmon Meal, Tuna Meal, Shrimp Meal, Dehydrated Seaweed Meal, Taurine, Minerals (Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite), Vitamins [Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement, Biotin (Vitamin B-7), Menadione Sodium Bisulfite Complex (Vitamin K)], Yellow 5, Dl-Methionine, L-Tryptophan, Red 40, Blue 2. J600318.			adult	purina	dry food				40.024096112519025	31.725289210002533	28.250614677478442	0.0004455080268935236	2.6730481613611414
Iams ProActive Health Healthy Adult Original with Chicken Dry Cat Food, 16-lb bag	https://www.chewy.com/iams-proactive-health-healthy-adult/dp/121251	23.84	Chicken, Chicken By-Product Meal, Ground Whole Grain Corn, Corn Grits, Corn Gluten Meal, Dried Plain Beet Pulp, Chicken Fat (preserved with Mixed Tocopherols), Natural Flavor, Dried Egg Product, Sodium Bisulfate,  Potassium Chloride, Brewers Dried Yeast, Fish Oil (preserved with Mixed Tocopherols), Calcium Carbonate, Choline Chloride, DL-Methionine, Fructooligosaccharides, Vitamins (Vitamin E Supplement, Niacin, Ascorbic Acid, Vitamin A Acetate, Calcium Pantothenate, Biotin, Thiamine Mononitrate (source of Vitamin B1), Pyridoxine Hydrochloride (Source of Vitamin B6), Vitamin B12 Supplement, Riboflavin Supplement (source of Vitamin B2), Inositol, Vitamin D3 Supplement, Folic Acid), Taurine, Minerals (Zinc Oxide, Manganese Sulfate, Copper Sulfate, Potassium Iodide), L-Carnitine, Rosemary Extract.			adult		dry food				35.910644184994794	29.970805224553583	34.118550590451626	0.0008770555258942872	5.262333155365723
Royal Canin Veterinary Diet Hydrolyzed Protein HP Dry Cat Food, 7.7-lb bag	https://www.chewy.com/royal-canin-veterinary-diet/dp/35480	57.99	Brewers Rice, Hydrolyzed Soy Protein, Chicken Fat, Powdered Cellulose, Natural Flavors, Dried Plain Beet Pulp, Calcium Sulfate, Fish Oil, Potassium Chloride, Monocalcium Phosphate, Vegetable Oil, Dl-Methionine, Sodium Pyrophosphate, Sodium Silico Aluminate, Salt, Fructooligosaccharides, Choline Chloride, Taurine, Calcium Carbonate, Vitamins [Dl-Alpha Tocopherol Acetate (Source Of Vitamin E), Niacin Supplement, L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), D-Calcium Pantothenate, Biotin, Pyridoxine Hydrochloride (Vitamin B6), Riboflavin Supplement, Thiamine Mononitrate (Vitamin B1), Vitamin A Acetate, Vitamin B12 Supplement, Folic Acid], Trace Minerals [Zinc Proteinate, Zinc Oxide, Manganese Proteinate, Manganous Oxide, Copper Sulfate, Ferrous Sulfate, Sodium Selenite, Copper Proteinate, Calcium Iodate], Marigold Extract (Tagetes Erecta L.), Magnesium Oxide, Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid.			adult	royal canin	dry food	limited ingredient diet pea-free veterinary diet hydrolyzed protein			39.445814223846085	21.462243059902654	39.09194271625126	0.004214778495616059	25.288670973696355
Blue Buffalo Sensitive Stomach Chicken Recipe Adult Dry Cat Food, 15-lb bag	https://www.chewy.com/blue-buffalo-sensitive-stomach/dp/35921	35.98	Deboned Chicken, Chicken Meal, Brown Rice, Oatmeal, Barley, Pea Protein, Peas, Chicken Fat (Preserved With Mixed Tocopherols), Dried Egg Product, Natural Flavor, Flaxseed (Source Of Omega 6 Fatty Acids), Pea Fiber, Menhaden Fish Meal, Fish Oil (Source Of Omega 3 Fatty Acids), DL-Methionine, Calcium Sulfate, Fructooligosaccharide, Calcium Chloride, Calcium Carbonate, Choline Chloride, Potassium Chloride, Potatoes, Dried Chicory Root, Taurine, Dehydrated Alfalfa Meal, Alfalfa Nutrient Concentrate, Salt, Cranberries, Preserved With Mixed Tocopherols, Sweet Potatoes, Carrots, Vegetable Juice For Color, Ferrous Sulfate, Niacin (Vitamin B3), Iron Amino Acid Chelate, Zinc Amino Acid Chelate, Zinc Sulfate, Vitamin E Supplement, Blueberries, Barley Grass, Parsley, Turmeric, Dried Kelp, Yucca Schidigera Extract, Copper Sulfate, Thiamine Mononitrate (Vitamin B1), Copper Amino Acid Chelate, L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), L-Lysine, Biotin (Vitamin B7), L-Carnitine, Vitamin A Supplement, Manganese Sulfate, Manganese Amino Acid Chelate, Pyridoxine Hydrochloride (Vitamin B6), Calcium Pantothenate (Vitamin B5), Riboflavin (Vitamin B2), Vitamin D3 Supplement, Dried Yeast, Dried Enterococcus Faecium Fermentation Product, Dried Lactobacillus Acidophilus Fermentation Product, Dried Aspergillus Niger Fermentation Extract, Dried Trichoderma Longibrachiatum Fermentation Extract, Dried Bacillus Subtilis Fermentation Extract, Vitamin B12 Supplement, Folic Acid (Vitamin B9), Calcium Iodate, Sodium Selenite, Oil Of Rosemary.			adult	blue life protection	dry food	sensitive digestion no corn no wheat no soy			35.623710202863194	29.073163134190814	35.30312666294599	0.0014018181818181816	8.41090909090909
Fancy Feast Delights with Cheddar Grilled Chicken & Cheddar Cheese Feast in Gravy Canned Cat Food, 3-oz, case of 24	https://www.chewy.com/fancy-feast-delights-cheddar-grilled/dp/103838	15.36	Poultry Broth, Chicken, Liver, Wheat Gluten, Meat By-Products, Corn Starch-Modified, Cheese (Source of Cheddar Cheese), Artificial and Natural Flavors, Salt, Calcium Phosphate, Sodium Caseinate, Soy Protein Concentrate, Soybean Oil, Added Color, Potassium Chloride, Dried Whey, Taurine, Sodium Tripolyphosphate, Choline Chloride, Magnesium Sulfate, Thiamine Mononitrate, Vitamin E Supplement, Zinc Sulfate, Niacin, Sorbic Acid (a Preservative), Ferrous Sulfate, Calcium Pantothenate, Vitamin A Supplement, Menadione Sodium Bisulfite Complex (Source of Vitamin K Activity), Pyridoxine Hydrochloride, Copper Sulfate, Manganese Sulfate, Riboflavin Supplement, Vitamin B-12 Supplement, Biotin, Folic Acid, Vitamin D-3 Supplement, Potassium Iodide.	can	chunks in gravy grilled	adult	purina	wet food				19.06614785992218	54.474708171206224	26.459143968871597	0.009014084507042254	54.08450704225352
Fancy Feast Classic Ocean Whitefish & Tuna Feast Canned Cat Food, 3-oz, case of 24	https://www.chewy.com/fancy-feast-classic-ocean-whitefish/dp/103922	15.36	Ocean Whitefish, Liver, Fish, Meat By-Products, Fish Broth, Tuna, Artificial And Natural Flavors, added Color, Guar Gum, Tricalcium Phosphate, MINERALS [Potassium Chloride, Magnesium Sulfate, Zinc Sulfate, Ferrous Sulfate, Copper Sulfate, Manganese Sulfate, Potassium Iodide], Salt, VITAMINS [Thiamine Mononitrate (Vitamin B-1), Vitamin E Supplement, Niacin (Vitamin B-3), Calcium Pantothenate (Vitamin B-5), Vitamin A Supplement, Menadione Sodium Bisulfite Complex (Vitamin K), Pyridoxine Hydrochloride (Vitamin B-6), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Biotin (Vitamin B-7), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement].	can	pate	adult	purina	wet food	grain-free pea-free			14.025500910746814	61.20218579234973	24.772313296903462	0.007529411764705882	45.17647058823529
Royal Canin Veterinary Diet Urinary SO Morsels in Gravy Canned Cat Food, 3-oz, case of 24	https://www.chewy.com/royal-canin-veterinary-diet-urinary/dp/35159	45.36	Water Sufficient For Processing, Pork By-Products, Chicken Liver, Chicken By-Products, Wheat Gluten, Wheat Flour, Natural Flavors, Modified Corn Starch, Pork Plasma, Powdered Cellulose, Vegetable Oil, Salt, Fish Oil, Calcium Sulfate, Potassium Chloride, Guar Gum, Sodium Tripolyphosphate, Taurine, Sodium Bisulfate, Dl-Methionine, Vitamins [Dl-Alpha Tocopherol Acetate (Source Of Vitamin E), Thiamine Mononitrate (Vitamin B1), Niacin Supplement, Biotin, D-Calcium Pantothenate, Folic Acid, Pyridoxine Hydrochloride (Vitamin B6), Riboflavin Supplement, Vitamin B12 Supplement, Vitamin D3 Supplement], Choline Chloride, Trace Minerals [Zinc Proteinate, Zinc Oxide, Ferrous Sulfate, Copper Sulfate, Manganous Oxide, Sodium Selenite, Calcium Iodate], Marigold Extract (Tagetes Erecta L.).	can	chunks in gravy	adult	royal canin	wet food	pea-free veterinary diet			28.21497120921305	45.68138195777352	26.103646833013432	0.029076923076923077	174.46153846153845
